Contest,Candidate or Measure,Position,Supporting ?,Committee Name,Transaction Type,Expense,,Name,TOTAL
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,MARJAN PHILHOUR,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING CHAN FOR SUPERVISOR 2024,Unpaid Bills,"-$13,663",,Jeremiah Boehner,"$3,624"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,MARJAN PHILHOUR,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING CHAN FOR SUPERVISOR 2024,Payments,"$40,145",,Connie Chan,"$1,588,916"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,MARJAN PHILHOUR,TogetherSF Action,Independent Expenditure,"$2,500",,Sherman D'Silva,$0
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,CONNIE CHAN FOR SUPERVISOR 2024,Unpaid Bills,$0,,Jen Nossokoff,"$71,093"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,CONNIE CHAN FOR SUPERVISOR 2024,Payments,"$374,638",,Marjan Philhour,"$831,849"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,Tenants and Families United sponsored by Center for Empowered Politics,Independent Expenditure,"$2,104",,Wendy Chau,"$33,925"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,Tenants and Families United PAC sponsored by Center for Empowered Politics,Independent Expenditure,"$9,463",,Moe Jamil,"$423,542"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$9,720",,Sharon Lai,"$439,520"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,"Fix our City SF, Sponsored by Labor Organizations",Independent Expenditure,"$693,473",,Eduard Navarro,"$61,738"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,Building a Working SF Sponsored by Labor Organizations,Independent Expenditure,"$39,294",,Danny Sauter,"$637,289"
BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN,Asian Americans for Representation,Independent Expenditure,"$90,913",,Matthew Susk,"$178,850"
BOARD OF SUPERVISORS - DISTRICT 1,JEN NOSSOKOFF,SUPPORT,JEN NOSSOKOFF,JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,Unpaid Bills,"$4,015",,Scott Jacobs,"$208,885"
BOARD OF SUPERVISORS - DISTRICT 1,JEN NOSSOKOFF,SUPPORT,JEN NOSSOKOFF,JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,Payments,"$67,078",,Allen Jones,$0
BOARD OF SUPERVISORS - DISTRICT 1,JEREMIAH BOEHNER,SUPPORT,JEREMIAH BOEHNER,BOEHNER FOR D1 SUPERVISOR 2024,Unpaid Bills,$0,,Autumn Looijen,"$78,917"
BOARD OF SUPERVISORS - DISTRICT 1,JEREMIAH BOEHNER,SUPPORT,JEREMIAH BOEHNER,BOEHNER FOR D1 SUPERVISOR 2024,Payments,"$3,624",,Bilal Mahmood,"$797,152"
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,OPPOSE,CONNIE CHAN,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$49,608",,Dean Preston,"$789,207"
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,OPPOSE,CONNIE CHAN,"Fix our City SF, Sponsored by Labor Organizations",Independent Expenditure,"$319,703",,Matthew Boschetto,"$405,234"
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,MARJAN PHILHOUR,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,Unpaid Bills,"$8,798",,Stephen Martin-Pinto,"$131,867"
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,MARJAN PHILHOUR,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,Payments,"$502,251",,Myrna Melgar,"$454,905"
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,MARJAN PHILHOUR,Families for a Vibrant SF Sponsored by Abundance Network,Independent Expenditure,"$275,878",,Edward S. Yee,$0
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,MARJAN PHILHOUR,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940",,Julian Bermudez,$949
BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,MARJAN PHILHOUR,Alice B. Toklas Lesbian and Gay Democratic Club PAC,Independent Expenditure,"$1,000",,H. Brown,$0
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,OPPOSE,SHARON LAI,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$55,746",,Trevor Chandler,"$448,208"
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,OPPOSE,MOE JAMIL,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$55,746",,Jackie Fielder,"$470,935"
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER,DANNY SAUTER FOR SUPERVISOR 2024,Unpaid Bills,"$24,446",,Jaime Gutierrez,"$12,491"
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER,DANNY SAUTER FOR SUPERVISOR 2024,Payments,"$345,056",,Roberto Hernandez,"$329,456"
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER,Families for a Vibrant SF Sponsored by Abundance Network,Independent Expenditure,"$161,877",,Stephen Torres,"$105,349"
BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$70,910",,Chyanne Chen,"$945,007"
BOARD OF SUPERVISORS - DISTRICT 3,EDUARD NAVARRO,SUPPORT,EDUARD NAVARRO,EDUARD NAVARRO FOR SUPERVISOR 2024,Unpaid Bills,"-$6,000",,Adlah Chisti,"$89,056"
BOARD OF SUPERVISORS - DISTRICT 3,EDUARD NAVARRO,SUPPORT,EDUARD NAVARRO,EDUARD NAVARRO FOR SUPERVISOR 2024,Payments,"$67,738",,Oscar Flores,"$4,116"
BOARD OF SUPERVISORS - DISTRICT 3,MATTHEW SUSK,SUPPORT,MATTHEW SUSK,SUSK FOR SUPERVISOR 2024,Unpaid Bills,$0,,Ernest Jones,"$323,471"
