Contest,Candidate or Measure,Position,Committee Name,Transaction Type,Expense,,Name,Single committee,Multiple committees,TOTAL
MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,GREAT SCHOOLS FOR ALL SF KIDS - YES ON PROP A,Unpaid Bills,"$79,000",,Prop A Yes,"$394,564",$0,"$394,564"
MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,GREAT SCHOOLS FOR ALL SF KIDS - YES ON PROP A,Payments,"$299,469",,Prop A No,$0,$0,$0
MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155",,Prop B Yes,"$1,709,654",$0,"$1,709,654"
MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940",,Prop B No,"$263,745",$0,"$263,745"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",OPPOSE,"SAN FRANCISCANS FOR RESPONSIBLE HOUSING, NO ON PROPOSITION B, SPONSORED BY RENTAL HOUSING PROVIDERS",Unpaid Bills,"$23,804",,Prop C Yes,"$125,059","$50,977","$176,036"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",OPPOSE,"SAN FRANCISCANS FOR RESPONSIBLE HOUSING, NO ON PROPOSITION B, SPONSORED BY RENTAL HOUSING PROVIDERS",Payments,"$239,941",,Prop C No,"$21,383",$0,"$21,383"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"YES ON B, COMMITTEE TO RESTORE POLICE MINIMUM STAFFING AND PUBLIC SAFETY, SPONSORED BY LABOR ORGANIZATIONS",Unpaid Bills,$253,,Prop D Yes,"$2,382,243","$6,016,377","$8,398,620"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"HEALTHY, VIBRANT SF, YES ON B",Unpaid Bills,"$55,305",,Prop D No,$0,"$50,977","$50,977"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"YES ON B, COMMITTEE TO RESTORE POLICE MINIMUM STAFFING AND PUBLIC SAFETY, SPONSORED BY LABOR ORGANIZATIONS",Payments,"$700,736",,Prop E Yes,"$21,912","$50,977","$72,889"
MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"HEALTHY, VIBRANT SF, YES ON B",Payments,"$937,265",,Prop E No,"$18,848","$6,016,377","$6,035,225"
