Contest Type,Contest,Candidate or Measure,Position,Committee Name,Transaction Type,Expense
BALLOT MEASURE,MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,GREAT SCHOOLS FOR ALL SF KIDS - YES ON PROP A,Unpaid Bills,"$79,000"
BALLOT MEASURE,MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,GREAT SCHOOLS FOR ALL SF KIDS - YES ON PROP A,Payments,"$299,469"
BALLOT MEASURE,MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE A,SCHOOLS IMPROVEMENT AND SAFETY BOND,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",OPPOSE,"SAN FRANCISCANS FOR RESPONSIBLE HOUSING, NO ON PROPOSITION B, SPONSORED BY RENTAL HOUSING PROVIDERS",Unpaid Bills,"$23,804"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",OPPOSE,"SAN FRANCISCANS FOR RESPONSIBLE HOUSING, NO ON PROPOSITION B, SPONSORED BY RENTAL HOUSING PROVIDERS",Payments,"$239,941"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"YES ON B, COMMITTEE TO RESTORE POLICE MINIMUM STAFFING AND PUBLIC SAFETY, SPONSORED BY LABOR ORGANIZATIONS",Unpaid Bills,$253
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"HEALTHY, VIBRANT SF, YES ON B",Unpaid Bills,"$55,305"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"YES ON B, COMMITTEE TO RESTORE POLICE MINIMUM STAFFING AND PUBLIC SAFETY, SPONSORED BY LABOR ORGANIZATIONS",Payments,"$700,736"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,"HEALTHY, VIBRANT SF, YES ON B",Payments,"$937,265"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE B,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE C,INSPECTOR GENERAL,OPPOSE,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE C,INSPECTOR GENERAL,OPPOSE,SAN FRANCISCO DEMOCRATIC COUNTY CENTRAL COMMITTEE,Independent Expenditure,"$5,288"
BALLOT MEASURE,MEASURE C,INSPECTOR GENERAL,OPPOSE,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE C,INSPECTOR GENERAL,SUPPORT,Tenants and Owners Development Corporation and its affiliated entity Yerba Buena Neighborhood Consortium LLC,Independent Expenditure,"$17,000"
BALLOT MEASURE,MEASURE C,INSPECTOR GENERAL,SUPPORT,"Build Affordable Faster CA, Yes on K sponsored by Tenants and Owners Development Corp. and its affiliated entity Yerba Buena Neighborhood Consortium",Independent Expenditure,"$108,059"
BALLOT MEASURE,MEASURE D,CITY COMMISSIONS AND MAYORAL AUTHORITY,SUPPORT,MAYOR MARK FARRELL FOR YES ON PROP D,Unpaid Bills,$0
BALLOT MEASURE,MEASURE D,CITY COMMISSIONS AND MAYORAL AUTHORITY,SUPPORT,MAYOR MARK FARRELL FOR YES ON PROP D,Payments,"$2,362,303"
BALLOT MEASURE,MEASURE D,CITY COMMISSIONS AND MAYORAL AUTHORITY,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$19,940"
BALLOT MEASURE,MEASURE E,"CREATING A TASK FORCE TO RECOMMEND CHANGING, ELIMINATING, OR COMBINING CITY COMMISSIONS",OPPOSE,SAN FRANCISCO DEMOCRATIC COUNTY CENTRAL COMMITTEE,Independent Expenditure,"$3,908"
BALLOT MEASURE,MEASURE E,"CREATING A TASK FORCE TO RECOMMEND CHANGING, ELIMINATING, OR COMBINING CITY COMMISSIONS",OPPOSE,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE E,"CREATING A TASK FORCE TO RECOMMEND CHANGING, ELIMINATING, OR COMBINING CITY COMMISSIONS",SUPPORT,"Build Affordable Faster CA, Yes on K sponsored by Tenants and Owners Development Corp. and its affiliated entity Yerba Buena Neighborhood Consortium",Independent Expenditure,"$21,912"
BALLOT MEASURE,MEASURE F,POLICE STAFFING AND DEFERRED RETIREMENT,SUPPORT,"YES ON F, SAN FRANCISCANS FOR A FULL POLICE STAFFING",Unpaid Bills,"-$47,623"
BALLOT MEASURE,MEASURE F,POLICE STAFFING AND DEFERRED RETIREMENT,SUPPORT,"YES ON F, SAN FRANCISCANS FOR A FULL POLICE STAFFING",Payments,"$317,479"
BALLOT MEASURE,MEASURE F,POLICE STAFFING AND DEFERRED RETIREMENT,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE F,POLICE STAFFING AND DEFERRED RETIREMENT,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE G,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES",OPPOSE,TogetherSF Action,Independent Expenditure,"$1,000"
BALLOT MEASURE,MEASURE G,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES",OPPOSE,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE G,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES",SUPPORT,"YES ON G, THE AFFORDABLE HOUSING OPPORTUNITY FUND",Unpaid Bills,"$25,730"
BALLOT MEASURE,MEASURE G,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES",SUPPORT,"YES ON G, THE AFFORDABLE HOUSING OPPORTUNITY FUND",Payments,"$133,054"
BALLOT MEASURE,MEASURE G,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES",SUPPORT,"Build Affordable Faster CA, Yes on K sponsored by Tenants and Owners Development Corp. and its affiliated entity Yerba Buena Neighborhood Consortium",Independent Expenditure,"$2,500"
BALLOT MEASURE,MEASURE H,RETIREMENT BENEFITS FOR FIREFIGHTERS,SUPPORT,"YES ON H FOR FIREFIGHTERS HEALTH & SAFETY, SF FIRE FIGHTERS LOCAL 798",Unpaid Bills,"$519,190"
