yes,no,margin,threshold,total,Proposition,yes_p,no_p
282657.0,94235.0,188422.0,55.0,376892.0,A,75.0,25.0
273912.0,102329.0,171583.0,66.67,376241.0,B,72.8,27.2
225479.0,144488.0,80991.0,50.0,369967.0,C,60.9,39.1
158522.0,207418.0,-48896.0,50.0,365940.0,D,43.3,56.7
192351.0,171122.0,21229.0,50.0,363473.0,E,52.9,47.1
163644.0,197637.0,-33993.0,50.0,361281.0,F,45.3,54.7
217561.0,152862.0,64699.0,50.0,370423.0,G,58.7,41.3
192360.0,173202.0,19158.0,50.0,365562.0,H,52.6,47.4
261048.0,102032.0,159016.0,50.0,363080.0,I,71.9,28.1
297640.0,64773.0,232867.0,50.0,362413.0,J,82.1,17.9
205814.0,170282.0,35532.0,50.0,376096.0,K,54.7,45.3
210169.0,159020.0,51149.0,50.0,369189.0,L,56.9,43.1
237678.0,104264.0,133414.0,50.0,341942.0,M,69.5,30.5
187749.0,175299.0,12450.0,50.0,363048.0,N,51.7,48.3
312589.0,60263.0,252326.0,50.0,372852.0,O,83.8,16.2
