yes,no,margin,threshold,total,Proposition,yes_p,no_p
282968.0,94329.0,188639.0,55.0,377297.0,A,75.0,25.0
274187.0,102450.0,171737.0,66.67,376637.0,B,72.8,27.2
225704.0,144662.0,81042.0,50.0,370366.0,C,60.9,39.1
158723.0,207604.0,-48881.0,50.0,366327.0,D,43.3,56.7
192540.0,171314.0,21226.0,50.0,363854.0,E,52.9,47.1
163835.0,197836.0,-34001.0,50.0,361671.0,F,45.3,54.7
217807.0,153017.0,64790.0,50.0,370824.0,G,58.7,41.3
192601.0,173341.0,19260.0,50.0,365942.0,H,52.6,47.4
261318.0,102141.0,159177.0,50.0,363459.0,I,71.9,28.1
297972.0,64813.0,233159.0,50.0,362785.0,J,82.1,17.9
206042.0,170447.0,35595.0,50.0,376489.0,K,54.7,45.3
210375.0,159200.0,51175.0,50.0,369575.0,L,56.9,43.1
237930.0,104380.0,133550.0,50.0,342310.0,M,69.5,30.5
187979.0,175453.0,12526.0,50.0,363432.0,N,51.7,48.3
312914.0,60335.0,252579.0,50.0,373249.0,O,83.8,16.2
