name,amount,candidate_or_measure,tx_date,committee_name,position,tag
Independent Expenditure by TogetherSF Action,49853.0,DANIEL LURIE,2024-10-30,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,20314.0,LONDON BREED,2024-10-14,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,32472.0,LONDON BREED,2024-10-23,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,28186.0,LONDON BREED,2024-10-30,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,2500.0,CONNIE CHAN,2024-10-14,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,10000.0,TREVOR CHANDLER,2024-09-23,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,TREVOR CHANDLER,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,TREVOR CHANDLER,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,TREVOR CHANDLER,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,TREVOR CHANDLER,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,TREVOR CHANDLER,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,TREVOR CHANDLER,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,TREVOR CHANDLER,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,TREVOR CHANDLER,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,10000.0,TREVOR CHANDLER,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,10000.0,TREVOR CHANDLER,2024-10-07,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,10000.0,TREVOR CHANDLER,2024-10-22,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,TREVOR CHANDLER,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
GROWSF VOTER GUIDE,12500.0,MEASURES D AND E,2024-10-07,"COMMITTEE TO FIX SAN FRANCISCO GOVERNMENT, YES ON D, NO ON E, A COALITION OF SAN FRANCISCO CIVIC ORGANIZATIONS DEDICATED TO IMPROVING THE CITY'S FUTURE",MULTIPLE,GrowSF
GROWSF VOTER GUIDE,12500.0,MEASURES D AND E,2024-10-07,"COMMITTEE TO FIX SAN FRANCISCO GOVERNMENT, YES ON D, NO ON E, A COALITION OF SAN FRANCISCO CIVIC ORGANIZATIONS DEDICATED TO IMPROVING THE CITY'S FUTURE",MULTIPLE,GrowSF
TOGETHERSF ACTION,7744.0,MEASURES D AND E,2024-09-09,"COMMITTEE TO FIX SAN FRANCISCO GOVERNMENT, YES ON D, NO ON E, A COALITION OF SAN FRANCISCO CIVIC ORGANIZATIONS DEDICATED TO IMPROVING THE CITY'S FUTURE",MULTIPLE,TogetherSF
Independent Expenditure by TogetherSF Action,1000.0,JACKIE FIELDER,2024-10-16,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,2500.0,DEAN PRESTON,2024-10-16,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,1000.0,MYRNA MELGAR,2024-10-23,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,30457.0,MOE JAMIL,2024-10-24,Families for a Vibrant SF Sponsored by Abundance Network,OPPOSE,Abundance Network
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,4543.0,MOE JAMIL,2024-10-26,Families for a Vibrant SF Sponsored by Abundance Network,OPPOSE,Abundance Network
Independent Expenditure by TogetherSF Action,781.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,219.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
